Nov 25 10:58:17 real dnsmasq[19417]: server 8.8.4.4#53: queries sent 130, retried or failed 4
Nov 25 10:58:27 real dnsmasq[19417]: server 10.129.36.245#53: queries sent 92, retried or failed 0
Nov 25 10:58:27 real dnsmasq[19417]: server 208.67.222.222#53: queries sent 27, retried or failed 0
Nov 25 10:58:27 real dnsmasq[19417]: server 208.67.220.220#53: queries sent 27, retried or failed 0
Nov 25 10:58:27 real dnsmasq[19417]: server 8.8.8.8#53: queries sent 27, retried or failed 0
Nov 25 10:58:27 real dnsmasq[19417]: server 8.8.4.4#53: queries sent 130, retried or failed 4
Nov 25 10:58:37 real dnsmasq[19417]: server 10.129.36.245#53: queries sent 92, retried or failed 0
Nov 25 10:58:37 real dnsmasq[19417]: server 208.67.222.222#53: queries sent 27, retried or failed 0
Nov 25 10:58:37 real dnsmasq[19417]: server 208.67.220.220#53: queries sent 27, retried or failed 0
Nov 25 10:58:37 real dnsmasq[19417]: server 8.8.8.8#53: queries sent 27, retried or failed 0
